[2024-03-31 12:24:10,196 INFO com.maybestore.Test_Register_Maybi] - Step 1 - Sendkey Lastname
[2024-03-31 12:24:11,143 INFO com.maybestore.Test_Register_Maybi] - Step 2 - Sendkey Lastname
[2024-03-31 12:24:11,247 INFO com.maybestore.Test_Register_Maybi] - Step 3 - Sendkey Lastname
[2024-03-31 12:24:11,501 INFO com.maybestore.Test_Register_Maybi] - Step 4 - Sendkey Lastname
[2024-03-31 12:24:11,702 INFO com.maybestore.Test_Register_Maybi] - Step 5 - Sendkey Lastname
[2024-03-31 12:24:11,783 INFO com.maybestore.Test_Register_Maybi] - Step 6 - Sendkey Lastname
[2024-03-31 12:24:12,335 INFO com.maybestore.Test_Register_Maybi] - Step 7 - Sendkey Lastname
[2024-03-31 12:24:12,344 INFO com.maybestore.Test_Register_Maybi] - ---------------------- FAILED -----------------------
[2024-03-31 12:24:12,345 INFO com.maybestore.Test_Register_Maybi] - Step 8 - Sendkey Lastname
[2024-03-31 12:24:12,345 INFO com.maybestore.Test_Register_Maybi] - ---------------------- FAILED -----------------------
[2024-03-31 12:24:12,345 INFO com.maybestore.Test_Register_Maybi] - Step 9 - Sendkey Lastname
[2024-03-31 12:24:12,345 INFO com.maybestore.Test_Register_Maybi] - ---------------------- PASSED -----------------------
[2024-03-31 12:25:44,498 INFO com.maybestore.Test_Register_Maybi] - Step 1 - Sendkey Lastname
[2024-03-31 12:25:44,617 INFO com.maybestore.Test_Register_Maybi] - Step 2 - Sendkey Lastname
[2024-03-31 12:25:44,801 INFO com.maybestore.Test_Register_Maybi] - Step 3 - Sendkey Lastname
[2024-03-31 12:25:44,977 INFO com.maybestore.Test_Register_Maybi] - Step 4 - Sendkey Lastname
[2024-03-31 12:25:45,033 INFO com.maybestore.Test_Register_Maybi] - Step 5 - Sendkey Lastname
[2024-03-31 12:25:45,079 INFO com.maybestore.Test_Register_Maybi] - Step 6 - Sendkey Lastname
[2024-03-31 12:25:45,352 INFO com.maybestore.Test_Register_Maybi] - Step 7 - Sendkey Lastname
[2024-03-31 12:25:45,354 INFO com.maybestore.Test_Register_Maybi] - ---------------------- FAILED -----------------------
[2024-03-31 12:25:45,354 INFO com.maybestore.Test_Register_Maybi] - Step 8 - Sendkey Lastname
[2024-03-31 12:25:45,354 INFO com.maybestore.Test_Register_Maybi] - ---------------------- FAILED -----------------------
[2024-03-31 12:25:45,354 INFO com.maybestore.Test_Register_Maybi] - Step 9 - Sendkey Lastname
[2024-03-31 12:25:45,354 INFO com.maybestore.Test_Register_Maybi] - ---------------------- PASSED -----------------------
[2024-03-31 12:33:30,332 INFO com.maybestore.Test_Register_Maybi] - Step 1 - Sendkey Lastname
[2024-03-31 12:33:30,398 INFO com.maybestore.Test_Register_Maybi] - Step 2 - Sendkey Lastname
[2024-03-31 12:33:30,510 INFO com.maybestore.Test_Register_Maybi] - Step 3 - Sendkey Lastname
[2024-03-31 12:33:30,708 INFO com.maybestore.Test_Register_Maybi] - Step 4 - Sendkey Lastname
[2024-03-31 12:33:30,751 INFO com.maybestore.Test_Register_Maybi] - Step 5 - Sendkey Lastname
[2024-03-31 12:33:30,786 INFO com.maybestore.Test_Register_Maybi] - Step 6 - Sendkey Lastname
[2024-03-31 12:33:30,968 INFO com.maybestore.Test_Register_Maybi] - Step 7 - Sendkey Lastname
[2024-03-31 12:33:30,970 INFO com.maybestore.Test_Register_Maybi] - ---------------------- FAILED -----------------------
[2024-03-31 12:33:30,970 INFO com.maybestore.Test_Register_Maybi] - Step 8 - Sendkey Lastname
[2024-03-31 12:33:30,970 INFO com.maybestore.Test_Register_Maybi] - ---------------------- FAILED -----------------------
